timestamp,elapsed_seconds,task_mode,active_app,window_title,idle_seconds
2026-05-02T17:52:05,0.0,writing,VS Code,activity_logger.py - python - Visual Studio Code [Administrator],0.03
2026-05-02T17:52:07,2.0,writing,VS Code,activity_logger.py - python - Visual Studio Code [Administrator],0.02
2026-05-02T17:52:09,4.0,writing,File Explorer,任务切换,0.0
2026-05-02T17:52:11,6.0,writing,VS Code,activity_logger.py - python - Visual Studio Code [Administrator],0.64
2026-05-02T17:52:13,8.0,writing,Browser,embedded AI - VS Code 用 Python - Google Chrome,0.0
2026-05-02T17:52:15,10.0,writing,VS Code,activity_logger.py - python - Visual Studio Code [Administrator],0.0
2026-05-02T17:52:17,12.0,writing,VS Code,activity_logger.py - python - Visual Studio Code [Administrator],0.0
2026-05-02T17:52:19,14.01,writing,VS Code,activity_logger.py - python - Visual Studio Code [Administrator],0.0
2026-05-02T17:52:21,16.01,writing,VS Code,activity_logger.py - python - Visual Studio Code [Administrator],0.02
2026-05-02T17:52:23,18.01,writing,VS Code,activity_logger.py - python - Visual Studio Code [Administrator],0.17
2026-05-02T17:52:25,20.01,writing,VS Code,activity_logger.py - python - Visual Studio Code [Administrator],0.0
2026-05-02T17:52:27,22.01,writing,VS Code,camera_prediction_logger.py - python - Visual Studio Code [Administrator],0.03
2026-05-02T17:52:29,24.01,writing,VS Code,attention_model.py - python - Visual Studio Code [Administrator],0.0
2026-05-02T17:52:31,26.01,writing,VS Code,dashboard.py - python - Visual Studio Code [Administrator],0.03
2026-05-02T17:52:33,28.01,writing,VS Code,dashboard.py - python - Visual Studio Code [Administrator],0.03
2026-05-02T17:52:35,30.01,writing,VS Code,activity_logger.py - python - Visual Studio Code [Administrator],0.0
2026-05-02T17:52:37,32.01,writing,VS Code,fusion_engine.py - python - Visual Studio Code [Administrator],0.19
2026-05-02T17:52:39,34.01,writing,VS Code,fusion_engine.py - python - Visual Studio Code [Administrator],0.14
2026-05-02T17:52:41,36.01,writing,VS Code,fusion_engine.py - python - Visual Studio Code [Administrator],0.0
2026-05-02T17:52:43,38.01,writing,weixin.exe,Weixin,0.02
2026-05-02T17:52:45,40.01,writing,Browser,embedded AI - VS Code 用 Python - Google Chrome,0.02
2026-05-02T17:52:47,42.01,writing,Browser,embedded AI - VS Code 用 Python - Google Chrome,0.61
2026-05-02T17:52:49,44.01,writing,Browser,embedded AI - VS Code 用 Python - Google Chrome,0.05
2026-05-02T17:52:51,46.01,writing,Browser,embedded AI - VS Code 用 Python - Google Chrome,0.86
2026-05-02T17:52:53,48.02,writing,Browser,embedded AI - VS Code 用 Python - Google Chrome,0.09
2026-05-02T17:52:55,50.02,writing,Browser,embedded AI - VS Code 用 Python - Google Chrome,0.05
2026-05-02T17:52:57,52.02,writing,Browser,embedded AI - VS Code 用 Python - Google Chrome,0.56
2026-05-02T17:52:59,54.02,writing,Browser,embedded AI - VS Code 用 Python - Google Chrome,0.05
2026-05-02T17:53:01,56.02,writing,VS Code,fusion_engine.py - python - Visual Studio Code [Administrator],0.0
2026-05-02T17:53:03,58.02,writing,VS Code,fusion_engine.py - python - Visual Studio Code [Administrator],0.0
2026-05-02T17:53:05,60.02,writing,weixin.exe,Weixin,0.0
2026-05-02T17:53:07,62.02,writing,Browser,embedded AI - VS Code 用 Python - Google Chrome,0.0
2026-05-02T17:53:09,64.02,writing,Browser,embedded AI - VS Code 用 Python - Google Chrome,0.0
2026-05-02T17:53:11,66.02,writing,weixin.exe,微信,0.06
2026-05-02T17:53:13,68.02,writing,weixin.exe,微信,0.34
2026-05-02T17:53:15,70.02,writing,weixin.exe,微信,0.2
2026-05-02T17:53:17,72.02,writing,weixin.exe,微信,0.05
2026-05-02T17:53:19,74.02,writing,weixin.exe,微信,0.17
2026-05-02T17:53:21,76.02,writing,weixin.exe,微信,0.33
2026-05-02T17:53:23,78.03,writing,weixin.exe,微信,0.05
2026-05-02T17:53:25,80.03,writing,weixin.exe,微信,0.98
2026-05-02T17:53:27,82.03,writing,Browser,embedded AI - VS Code 用 Python - Google Chrome,0.0
2026-05-02T17:53:29,84.03,writing,Browser,embedded AI - VS Code 用 Python - Google Chrome,0.05
2026-05-02T17:53:31,86.03,writing,Browser,embedded AI - VS Code 用 Python - Google Chrome,0.72
2026-05-02T17:53:33,88.03,writing,Browser,embedded AI - VS Code 用 Python - Google Chrome,2.72
2026-05-02T17:53:35,90.03,writing,Browser,embedded AI - VS Code 用 Python - Google Chrome,0.19
2026-05-02T17:53:37,92.03,writing,Browser,embedded AI - VS Code 用 Python - Google Chrome,0.06
2026-05-02T17:53:39,94.03,writing,Browser,embedded AI - VS Code 用 Python - Google Chrome,0.02
2026-05-02T17:53:41,96.03,writing,weixin.exe,微信,0.02
2026-05-02T17:53:43,98.03,writing,weixin.exe,微信,0.41
2026-05-02T17:53:45,100.03,writing,weixin.exe,微信,0.05
2026-05-02T17:53:47,102.03,writing,weixin.exe,微信,0.05
2026-05-02T17:53:49,104.03,writing,weixin.exe,微信,0.67
2026-05-02T17:53:51,106.03,writing,weixin.exe,微信,0.03
2026-05-02T17:53:53,108.04,writing,weixin.exe,微信,0.05
2026-05-02T17:53:55,110.04,writing,weixin.exe,微信,0.02
2026-05-02T17:53:57,112.04,writing,weixin.exe,微信,1.8
2026-05-02T17:53:59,114.04,writing,VS Code,fusion_engine.py - python - Visual Studio Code [Administrator],0.0
2026-05-02T17:54:01,116.04,writing,VS Code,fusion_engine.py - python - Visual Studio Code [Administrator],0.02
2026-05-02T17:54:03,118.04,writing,VS Code,fusion_engine.py - python - Visual Studio Code [Administrator],0.08
2026-05-02T17:54:05,120.04,writing,VS Code,fusion_engine.py - python - Visual Studio Code [Administrator],0.03
2026-05-02T17:54:07,122.04,writing,VS Code,fusion_engine.py - python - Visual Studio Code [Administrator],0.02
2026-05-02T17:54:09,124.04,writing,VS Code,activity_logger.py - python - Visual Studio Code [Administrator],0.05
2026-05-02T17:54:11,126.04,writing,VS Code,dashboard.py - python - Visual Studio Code [Administrator],0.0
2026-05-02T17:54:13,128.04,writing,VS Code,dashboard.py - python - Visual Studio Code [Administrator],0.0
2026-05-02T17:54:15,130.04,writing,VS Code,dashboard.py - python - Visual Studio Code [Administrator],0.0
2026-05-02T17:54:17,132.04,writing,VS Code,dashboard.py - python - Visual Studio Code [Administrator],0.0
2026-05-02T17:54:19,134.04,writing,VS Code,dashboard.py - python - Visual Studio Code [Administrator],0.09
2026-05-02T17:54:21,136.04,writing,Browser,embedded AI - VS Code 用 Python - Google Chrome,0.0
2026-05-02T17:54:23,138.04,writing,Browser,embedded AI - VS Code 用 Python - Google Chrome,0.0
2026-05-02T17:54:25,140.04,writing,Browser,embedded AI - VS Code 用 Python - Google Chrome,0.22
2026-05-02T17:54:27,142.05,writing,Browser,embedded AI - VS Code 用 Python - Google Chrome,0.0
2026-05-02T17:54:29,144.05,writing,Browser,embedded AI - VS Code 用 Python - Google Chrome,0.17
2026-05-02T17:54:31,146.05,writing,Browser,embedded AI - VS Code 用 Python - Google Chrome,0.41
2026-05-02T17:54:33,148.05,writing,Browser,embedded AI - VS Code 用 Python - Google Chrome,1.47
2026-05-02T17:54:35,150.05,writing,Browser,embedded AI - VS Code 用 Python - Google Chrome,0.16
2026-05-02T17:54:37,152.05,writing,Browser,embedded AI - VS Code 用 Python - Google Chrome,0.08
2026-05-02T17:54:39,154.05,writing,Browser,embedded AI - VS Code 用 Python - Google Chrome,0.42
2026-05-02T17:54:41,156.05,writing,Browser,embedded AI - VS Code 用 Python - Google Chrome,0.05
2026-05-02T17:54:43,158.05,writing,Browser,embedded AI - VS Code 用 Python - Google Chrome,0.09
2026-05-02T17:54:45,160.05,writing,Browser,embedded AI - VS Code 用 Python - Google Chrome,0.69
2026-05-02T17:54:47,162.05,writing,Browser,embedded AI - VS Code 用 Python - Google Chrome,2.69
2026-05-02T17:54:49,164.05,writing,Browser,embedded AI - VS Code 用 Python - Google Chrome,4.69
2026-05-02T17:54:51,166.05,writing,Browser,embedded AI - VS Code 用 Python - Google Chrome,6.69
2026-05-02T17:54:53,168.05,writing,Browser,embedded AI - VS Code 用 Python - Google Chrome,8.69
2026-05-02T17:54:55,170.05,writing,Browser,embedded AI - VS Code 用 Python - Google Chrome,10.69
2026-05-02T17:54:57,172.05,writing,VS Code,dashboard.py - python - Visual Studio Code [Administrator],0.0
2026-05-02T17:54:59,174.05,writing,VS Code,camera_predictions.csv - python - Visual Studio Code [Administrator],0.47
2026-05-02T17:55:01,176.05,writing,VS Code,activity_log.csv - python - Visual Studio Code [Administrator],0.16
2026-05-02T17:55:03,178.06,writing,VS Code,camera_predictions.csv - python - Visual Studio Code [Administrator],0.0
2026-05-02T17:55:05,180.06,writing,File Explorer,任务切换,0.0
2026-05-02T17:55:07,182.06,writing,VS Code,camera_predictions.csv - python - Visual Studio Code [Administrator],0.0
2026-05-02T17:55:09,184.06,writing,VS Code,camera_predictions.csv - python - Visual Studio Code [Administrator],0.0
2026-05-02T17:55:11,186.06,writing,VS Code,camera_predictions.csv - python - Visual Studio Code [Administrator],0.0
2026-05-02T17:55:13,188.06,writing,VS Code,camera_prediction_logger.py - python - Visual Studio Code [Administrator],0.0
2026-05-02T17:55:15,190.06,writing,VS Code,camera_prediction_logger.py - python - Visual Studio Code [Administrator],0.0
2026-05-02T17:55:17,192.06,writing,VS Code,camera_prediction_logger.py - python - Visual Studio Code [Administrator],0.72
2026-05-02T17:55:19,194.06,writing,VS Code,camera_prediction_logger.py - python - Visual Studio Code [Administrator],0.06
2026-05-02T17:55:21,196.06,writing,VS Code,camera_prediction_logger.py - python - Visual Studio Code [Administrator],0.05
2026-05-02T17:55:23,198.06,writing,VS Code,camera_prediction_logger.py - python - Visual Studio Code [Administrator],0.39
2026-05-02T17:55:25,200.06,writing,VS Code,camera_prediction_logger.py - python - Visual Studio Code [Administrator],0.0
2026-05-02T17:55:27,202.06,writing,VS Code,camera_prediction_logger.py - python - Visual Studio Code [Administrator],0.06
2026-05-02T17:55:29,204.06,writing,VS Code,camera_prediction_logger.py - python - Visual Studio Code [Administrator],0.02
2026-05-02T17:55:31,206.06,writing,VS Code,camera_prediction_logger.py - python - Visual Studio Code [Administrator],0.0
2026-05-02T17:55:33,208.06,writing,Browser,embedded AI - VS Code 用 Python - Google Chrome,0.22
2026-05-02T17:55:35,210.06,writing,Browser,《388米趣味单 摸金币能换刀皮和砖皮？！》挑战花十万测评三角洲俱乐部第110期：8loop电竞_第一视角 - Google Chrome,0.45
2026-05-02T17:55:37,212.06,writing,Browser,《388米趣味单 摸金币能换刀皮和砖皮？！》挑战花十万测评三角洲俱乐部第110期：8loop电竞_第一视角 - Google Chrome,0.41
2026-05-02T17:55:39,214.07,writing,Browser,《388米趣味单 摸金币能换刀皮和砖皮？！》挑战花十万测评三角洲俱乐部第110期：8loop电竞_第一视角 - Google Chrome,0.02
2026-05-02T17:55:41,216.07,writing,Browser,《388米趣味单 摸金币能换刀皮和砖皮？！》挑战花十万测评三角洲俱乐部第110期：8loop电竞_第一视角 - Google Chrome,0.03
2026-05-02T17:55:43,218.07,writing,Browser,《388米趣味单 摸金币能换刀皮和砖皮？！》挑战花十万测评三角洲俱乐部第110期：8loop电竞_第一视角 - Google Chrome,0.12
